id_cohorte;effectif;inscriptions;réussites
14724;1;V2CJ, D3DRO, D4DIM, DUJOHA;V2CJ, D1CII, D3DRO, D4DIM, DUJOHA
14725;1;-8<--, B1SSS, B1SSS, B1SSO, B2SSO, B2SSO, B3SSO;B1SSO, B2SSO, B1CII, B3SSO
14726;1;A1CAN3;
14727;1;E1EGE, [trou], [trou], [trou], [trou], [trou], E4CC2, E5CC2;E4CC2, E5CC2
14728;1;L4SED, L5IIST, B5SPT;L4SED, L5IIST
14729;1;V3CCX3, V3CCX3;
14730;1;-8<--, L4SLF, L4SLF, L5SDL, L5CLD;L4SLF
14731;1;G4SGM, G5MS, G5MS;G4SGM
14732;1;B1IFVE, [trou], B2IFVE;B1IFVE
14733;1;B1IFJV, B1IFJV, B2IFJV, B3IFJV;B1IFJV, B2IFJV, B3IFJV
14734;1;E3GEST, E4GFE, E5GFE;E3GEST, E4GFE
14735;1;D5DDA6, D5DDA6;
14736;1;G4PSM, G5MF, G5MF, V3EON;G4PSM, G5MF, V3EON
14737;1;V1IN, V2INC, V2INC;V1IN
14738;1;S2GR7, V3MEC2, C4RHC2, C5RHC2;S2GR7, V3MEC2, C4RHC2
14739;1;B3SSS, B3SSO;B3SSO
14740;1;-8<--, S1IM, S1IM, S2IM;S1IM, S2IM
14741;1;E4MBF, E5CGR2;E4MBF, E5CGR2
14742;1;V2CJ;V2CJ
14743;1;V1GE1, V2GR1;V1GE1, V2GR1
14744;1;C4IC, C5IEC, C5IEC;C4IC, C5IEC
14745;1;V1GE, S1TDC;
14746;1;G1PI, G2PI;
14747;1;L1PSY, E1EGE;
14748;1;D4DDA8;
14749;1;-8<--, D2SPO, D3SPO, D3SPO, D4PAP, D5COP;D2SPO, D1CII, D3SPO, D4PAP
14750;1;B1PAES, B1SVI, B1PAES, B2SVI, B2SVI, B2SVI, B3SVI, B4SST, B5SST;B1SVI, B2SVI, B3SVI, B4SST
14751;1;V1CJ, V1CJ, V2CJ, V3MEC;V1CJ, V2CJ, V3MEC
14752;1;B1PAES, B1SVI, B1SVI, B2SVI;B1SVI
14753;1;G1PI, G2PI, G2PI, G3SE, G4SE, G5SE;G1PI, G2PI, G5SE
14754;1;-8<--, D2SPO4, D3SPO4, L4SED, L5SDJ;D2SPO4, D3SPO4, L4SED, L5SDJ
14755;1;-8<--, S3IR, B4SST;S3IR, B4SST
14756;1;L5SDJ, L5SDJ, B8SE, B8SE, B8SE, B8SE;L5SDJ
14757;1;B1PAES, L1HHI, L2HHI, L3HHI;L1HHI, L2HHI, L3HHI
14758;1;;B1IFVE, B2IFV3
14759;1;L4SDL, L5CLD;L4SDL, LCLS2A
14760;1;E1EGEB, E1EGEB, L1LET, L2LET, L3LET, L4MFLM;L1LET, L3LET
